Date,M4,Log Total Assets,Effective Federal Funds Rate (%),Log Currency in Circulation ($ Bil),Unemployment Rate,Inflation Rate
11/30/2014,7.18,15.32,0.09,7.18,5.80,1.23
12/31/2014,7.18,15.32,0.12,7.19,5.60,0.65
1/31/2015,7.19,15.32,0.12,7.20,5.70,-0.23
2/28/2015,7.19,15.32,0.11,7.20,5.50,-0.09
3/31/2015,7.20,15.32,0.11,7.21,5.40,-0.02
4/30/2015,7.19,15.32,0.13,7.22,5.40,-0.10
5/31/2015,7.20,15.32,0.12,7.22,5.60,0.04
6/30/2015,7.20,15.32,0.13,7.22,5.30,0.18
7/31/2015,7.21,15.32,0.13,7.22,5.20,0.23
8/31/2015,7.21,15.32,0.14,7.23,5.10,0.24
9/30/2015,7.21,15.32,0.14,7.23,5.00,0.01
10/31/2015,7.21,15.32,0.12,7.24,5.00,0.13
11/30/2015,7.22,15.32,0.12,7.25,5.10,0.44
12/31/2015,7.22,15.32,0.24,7.25,5.00,0.64
1/31/2016,7.23,15.32,0.34,7.26,4.80,1.24
2/29/2016,7.23,15.32,0.38,7.26,4.90,0.85
3/31/2016,7.24,15.32,0.36,7.27,5.00,0.89
4/30/2016,7.24,15.32,0.37,7.28,5.10,1.17
5/31/2016,7.25,15.31,0.37,7.28,4.80,1.08
6/30/2016,7.25,15.31,0.38,7.28,4.90,1.08
7/31/2016,7.25,15.31,0.39,7.29,4.80,0.87
8/31/2016,7.26,15.31,0.40,7.29,4.90,1.06
9/30/2016,7.26,15.31,0.40,7.29,5.00,1.55
10/31/2016,7.26,15.31,0.40,7.30,4.90,1.69
11/30/2016,7.27,15.31,0.41,7.31,4.70,1.68
12/31/2016,7.27,15.31,0.54,7.31,4.70,2.05
1/31/2017,7.27,15.31,0.65,7.32,4.70,2.51
2/28/2017,7.28,15.31,0.66,7.32,4.60,2.75
3/31/2017,7.28,15.31,0.79,7.33,4.40,2.39
4/30/2017,7.29,15.31,0.90,7.34,4.50,2.21
5/31/2017,7.29,15.31,0.91,7.34,4.40,1.88
6/30/2017,7.29,15.31,1.04,7.35,4.30,1.66
7/31/2017,7.30,15.31,1.15,7.35,4.30,1.74
8/31/2017,7.30,15.31,1.16,7.36,4.40,1.94
9/30/2017,7.31,15.31,1.15,7.36,4.20,2.23
10/31/2017,7.31,15.31,1.15,7.37,4.10,2.03
11/30/2017,7.32,15.31,1.16,7.37,4.20,2.21
12/31/2017,7.32,15.31,1.30,7.38,4.10,2.10
1/31/2018,7.32,15.31,1.42,7.38,4.00,2.09
2/28/2018,7.32,15.30,1.42,7.39,4.10,2.23
3/31/2018,7.33,15.30,1.51,7.40,4.00,2.36
4/30/2018,7.33,15.29,1.69,7.40,4.00,2.46
5/31/2018,7.33,15.28,1.70,7.41,3.80,2.75
6/30/2018,7.34,15.28,1.82,7.42,4.00,2.84
7/31/2018,7.34,15.27,1.91,7.42,3.80,2.89
8/31/2018,7.35,15.26,1.92,7.42,3.80,2.66
9/30/2018,7.35,15.25,1.96,7.43,3.70,2.28
10/31/2018,7.35,15.24,2.19,7.43,3.80,2.53
11/30/2018,7.35,15.23,2.20,7.44,3.80,2.20
12/31/2018,7.36,15.22,2.27,7.44,3.90,1.92
1/31/2019,7.36,15.21,2.40,7.44,4.00,1.50
2/28/2019,7.37,15.20,2.40,7.44,3.80,1.47
3/31/2019,7.37,15.19,2.41,7.45,3.80,1.86
4/30/2019,7.38,15.19,2.42,7.45,3.70,2.02
5/31/2019,7.38,15.17,2.39,7.46,3.70,1.83
6/30/2019,7.39,15.16,2.38,7.46,3.60,1.70
7/31/2019,7.39,15.15,2.40,7.47,3.60,1.82
8/31/2019,7.40,15.14,2.13,7.47,3.70,1.74
9/30/2019,7.40,15.15,2.04,7.47,3.50,1.72
10/31/2019,7.41,15.19,1.83,7.48,3.60,1.77
11/30/2019,7.42,15.21,1.55,7.49,3.60,2.04
12/31/2019,7.42,15.23,1.55,7.49,3.60,2.26
